condition,post_index,comment_imbalance_mean,participation_rate_A_mean,participation_rate_B_mean,participation_gap_mean,mean_confidence_A_mean,mean_confidence_B_mean,mean_willingness_A_mean,mean_willingness_B_mean,conformity_rate_mean,silence_streak_mean_mean,silence_streak_max_mean,silence_streak_pct_ge_5_mean,cascade_flag_mean,comment_imbalance_std,participation_rate_A_std,participation_rate_B_std,participation_gap_std,mean_confidence_A_std,mean_confidence_B_std,mean_willingness_A_std,mean_willingness_B_std,conformity_rate_std,silence_streak_mean_std,silence_streak_max_std,silence_streak_pct_ge_5_std,cascade_flag_std,cascade_probability
control,32,0.18277779888916984,0.41600000000000004,0.39249999999999996,0.023500000000000007,0.5014996844602782,0.49631090773647824,0.5042283399694867,0.49097102349980243,0.07096550929003892,1.73425,16.95,0.1085,0.15,0.09936596962174817,0.05743646375275077,0.05437443284640698,0.08355741801457942,0.0155251213992706,0.015903153602227937,0.03163760853068298,0.03254362076519287,0.0337657479033196,0.15695519809973268,4.454152409180733,0.01913250196861214,0.36634754853252327,0.15
control,33,0.1636256206691734,0.4025,0.40099999999999997,0.0015000000000000013,0.5016852443324612,0.49607687399336664,0.504462174448878,0.4904893522367753,0.06600925393223951,1.76175,17.1,0.10525,0.0,0.06687022224488823,0.04494148241997879,0.04204008112566663,0.06166761497611291,0.015397484353543064,0.015706183378313383,0.03143803691967131,0.032295842975017766,0.026440858877563995,0.14667611113929688,4.564162458476738,0.01743219948679364,0.0,0.0
control,34,0.20800399800559286,0.4095,0.3865,0.023,0.5015669173551849,0.4962079326441284,0.5036963279327786,0.49105995968162414,0.06400114511651932,1.786,16.7,0.11125,0.25,0.1021579820168264,0.06151379819537281,0.06063479980480202,0.1026542485084865,0.015981534907766524,0.016278725948426397,0.033611692208784565,0.034439652996162716,0.029381101437188705,0.16334174700850193,3.908156113888788,0.020122977178497117,0.4442616583193193,0.25
control,35,0.18013327250530983,0.40700000000000003,0.421,-0.013999999999999995,0.5013580007132704,0.49631981658556457,0.5033423957937461,0.49121915127672855,0.07947503211189608,1.7252500000000002,14.85,0.11225,0.05,0.10029717723634116,0.06457146184043323,0.04919349550499537,0.0929855676407564,0.016613584207022775,0.016900681156833394,0.034829175228572797,0.0358596588428805,0.028948169557616397,0.1834069031014459,2.5603248149199227,0.02291144278578535,0.22360679774997896,0.05
control,36,0.18327089863899074,0.421,0.377,0.044000000000000004,0.5017939370017547,0.49584165112977185,0.504694559759558,0.4898387985269778,0.062214782689507565,1.75175,15.5,0.10825,0.1,0.11047088872324176,0.056930243558050465,0.051615990994223766,0.077690343503451,0.017038537637114437,0.01734235455492747,0.03554156832613564,0.03620085328088784,0.02278035400007417,0.1584486883571627,3.017492859626139,0.018797746225489236,0.30779350562554625,0.1
control,37,0.20781500900764455,0.393,0.418,-0.025,0.5020820011066929,0.4954268675294967,0.5051573695097483,0.4893342292793405,0.0773312145490721,1.765,15.9,0.11100000000000002,0.2,0.1284633945762406,0.05639148871948674,0.0696306042816776,0.09248043889897674,0.017737005566334015,0.01796620801205053,0.03708859050050846,0.03777134582249066,0.02989124369993756,0.179831792751478,2.8818853478052766,0.020300375936368638,0.41039134083406165,0.2
control,38,0.18000342285123597,0.395,0.398,-0.0030000000000000053,0.5020177513114945,0.4953500692954849,0.5047938543380889,0.48953479949509304,0.06618572871211206,1.7725000000000002,16.3,0.10800000000000001,0.05,0.0732876725178807,0.05670793131197972,0.04595191995301634,0.07540068406781689,0.017818228823785465,0.018001651276062285,0.036353336004055624,0.036744439394671806,0.03300378406121548,0.17967441313899457,3.197038102928858,0.021968877507678182,0.22360679774997896,0.05
control,39,0.18787841816210094,0.387,0.4035,-0.016500000000000008,0.5017817243351088,0.49546518952204444,0.5043004191408675,0.4899756337446585,0.0720055375921984,1.79225,16.6,0.11000000000000001,0.1,0.1066268896807023,0.05262578915522813,0.046710192734168404,0.07652141083245573,0.01830256403420668,0.018391216066551218,0.03774239839406857,0.03777850707885065,0.03354706256706105,0.1600614602352221,3.803045870711638,0.020131148946216083,0.3077935056255462,0.1
control,40,0.1837867584676179,0.39,0.421,-0.030999999999999993,0.5007670192654133,0.49641952792085065,0.5013665906886285,0.4927530251115228,0.06716436634176307,1.75075,16.3,0.10974999999999999,0.15,0.10543538750240633,0.04963021151211066,0.05004208754953963,0.07608167356618528,0.01787911993860078,0.017877494991463,0.035639185219917886,0.03571625727611732,0.03986019479076084,0.19541639079021414,3.628831912975796,0.025312520305384965,0.36634754853252327,0.15
treatment1,1,0.16862299437923156,0.422,0.392,0.029999999999999992,0.5027265210415836,0.4973483932005084,0.5055281068273632,0.494136232197397,0.06355966226349864,0.593,1.0,0.0,0.1,0.09059777073871345,0.04840617620445602,0.04311551192344878,0.0666491204980073,0.002052549847535036,0.0020249787926483838,0.004160521433552175,0.004442197910427966,0.03152722448553939,0.03147262804071935,0.0,0.0,0.30779350562554625,0.1
